St. Jude Medical. File Revision : 5.6.1
Export Data Element : DxL
Export from Study : study_dwsG703731_2022_02_01_08_20_13
Export from Segment : Finish Model
Export User Comments : Add comments here
Export files Stored in Dir : /var/STJ/Clinical/systemStudy/study_dwsG703731_2022_02_01_08_20_13/export/2024_06_14_09_11_34/
Export Start Time (h:m:s.msec) : 10:20:24.166
Export Start Time (secs usecs) : 1643710824 166203
Export End Time (h:m:s.msec) : 08:20:19.353
Export End Time (secs usecs) : 1643703619 352735
Export Duration (h:m:s.msec) : -2:00:-5.187

Total number of data points (columns):, 18
 This is file 1 of 1 for map,MAP_A
 Points sorted in order of acceptance (first to last)
 *******************************************************************************
*     The lines following "Begin data" contain (one column per data point)
* the point number (order of collection); the labels of the roving/reference/
* Signal 1/Signal 2/Signal 3 traces; the Local Activation Time (LAT) detected
* on the reference trace (measured in samples from the beginning of the data
* interval); the end time of the traces (in sec); the end frame index (not used, always 0);
* the LAT detected on the reference trace (in sec);
* the LAT detected on the roving trace (in sec);
* the peak-to-peak and peak negative voltages of the roving trace (in mV);
* CFE mean and CFE standard deviation measures (in msec);
* the x/y/z coordinates of the roving electrode;
* the x/y/z coordinates of the roving electrode projected onto the map surface;
* the cycle length of the roving trace (in msec);
* a flag for whether it was displayed on the map;
* a flag for whether it was used to compute the map;
* the detection algorithm code and parameter for the roving trace;
* the detection algorithm code and parameter for the reference trace; and
* the low voltage ID (in mV).
* Following these lines are 6 lines of single entry field for wave data:
* the segment data length (in msec); the exported data length (in msec);
* the data sample rate (in Hz); and 3 CFE algorithm parameters of peak-to-peak
* sensitivity (in mV), CFE width (in msec) and CFE refractory(in msec).
* Following these lines are 5 blocks of wave data.
* The blocks each contain a blank line; trace labels for each data point;
* and the all points for the roving trace and points for
* the reference/Signal 1/Signal 2/Signal 3 traces (if present) respectively.
* Following these lines is a section labeled "FFT spectrum is available for FFT maps only"
* which contains (one column per data point) the labels of the CFE detection roving trace;
* the CFE detection count; and the CFE detection sample index;
*******************************************************************************
Begin data
pt number:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
rov trace:,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2,ABL    D-2
ref trace:,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8
S 1 trace:,ECG V6,ECG V6,ECG V6,ECG V6,ECG V6,ECG V6,ECG V6,ECG V6,ECG V6,ECG V6,ECG V6,ECG V6,ECG V6,ECG V6,ECG V6,ECG V6,ECG V6,ECG V6
S 2 trace:,CS  D-2,CS   D-2,CS   D-2,CS   D-2,CS   D-2,CS   D-2,CS   D-2,CS   D-2,CS   D-2,CS   D-2,CS   D-2,CS   D-2,CS   D-2,CS   D-2,CS   D-2,CS   D-2,CS   D-2,CS   D-2
S 3 trace:,CS  3-4,CS   3-4,CS   3-4,CS   3-4,CS   3-4,CS   3-4,CS   3-4,CS   3-4,CS   3-4,CS   3-4,CS   3-4,CS   3-4,CS   3-4,CS   3-4,CS   3-4,CS   3-4,CS   3-4,CS   3-4
end time:,1643707408.928675,1643707463.455094,1643707562.906557,1643709971.856175,1643707641.567652,1643709834.083750,1643709942.568882,1643707462.544797,1643707591.895989,1643707461.750990,1643707594.218426,1643707687.959395,1643709846.522678,1643709946.443052,1643710119.313536,1643707690.684880,1643709846.522678,1643707555.529314
end frame:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref LAT:,1643707408.455133,1643707462.963032,1643707562.430370,1643709971.362791,1643707641.091465,1643709833.590366,1643709942.075498,1643707462.052735,1643707591.419802,1643707461.258928,1643707593.742239,1643707687.483208,1643709846.029294,1643709945.949668,1643710118.820152,1643707690.208693,1643709846.029294,1643707555.037252
rov LAT:,1643707408.418201,1643707462.943146,1643707562.393626,1643709971.357007,1643707641.065534,1643709833.588514,1643709942.068730,1643707462.025476,1643707591.379617,1643707461.226262,1643707593.701563,1643707687.446956,1643709846.031865,1643709945.938477,1643710118.804045,1643707690.172932,1643709846.031865,1643707555.001146
peak2peak:,0.9690,0.9660,1.9610,2.4800,2.4140,2.3210,2.7390,2.0130,0.5660,1.1060,0.7000,1.9070,0.8840,2.3480,2.3310,1.5760,0.8840,0.4550
