St. Jude Medical. File Revision : 5.6.1
Export Data Element : DxL
Export from Study : study_dwsG703731_2022_04_05_07_31_52
Export from Segment : End of Study
Export User Comments : Add comments here
Export files Stored in Dir : /var/STJ/Clinical/systemStudy/study_dwsG703731_2022_04_05_07_31_52/export/2024_06_14_12_51_30/
Export Start Time (h:m:s.msec) : 09:32:01.906
Export Start Time (secs usecs) : 1649151121 906339
Export End Time (h:m:s.msec) : 07:31:58.285
Export End Time (secs usecs) : 1649143918 284810
Export Duration (h:m:s.msec) : -2:00:-4.378

Total number of data points (columns):, 7
 This is file 1 of 1 for map,MAP_A
 Points sorted in order of acceptance (first to last)
 *******************************************************************************
*     The lines following "Begin data" contain (one column per data point)
* the point number (order of collection); the labels of the roving/reference/
* Signal 1/Signal 2/Signal 3 traces; the Local Activation Time (LAT) detected
* on the reference trace (measured in samples from the beginning of the data
* interval); the end time of the traces (in sec); the end frame index (not used, always 0);
* the LAT detected on the reference trace (in sec);
* the LAT detected on the roving trace (in sec);
* the peak-to-peak and peak negative voltages of the roving trace (in mV);
* CFE mean and CFE standard deviation measures (in msec);
* the x/y/z coordinates of the roving electrode;
* the x/y/z coordinates of the roving electrode projected onto the map surface;
* the cycle length of the roving trace (in msec);
* a flag for whether it was displayed on the map;
* a flag for whether it was used to compute the map;
* the detection algorithm code and parameter for the roving trace;
* the detection algorithm code and parameter for the reference trace; and
* the low voltage ID (in mV).
* Following these lines are 6 lines of single entry field for wave data:
* the segment data length (in msec); the exported data length (in msec);
* the data sample rate (in Hz); and 3 CFE algorithm parameters of peak-to-peak
* sensitivity (in mV), CFE width (in msec) and CFE refractory(in msec).
* Following these lines are 5 blocks of wave data.
* The blocks each contain a blank line; trace labels for each data point;
* and the all points for the roving trace and points for
* the reference/Signal 1/Signal 2/Signal 3 traces (if present) respectively.
* Following these lines is a section labeled "FFT spectrum is available for FFT maps only"
* which contains (one column per data point) the labels of the CFE detection roving trace;
* the CFE detection count; and the CFE detection sample index;
*******************************************************************************
Begin data
pt number:,1,2,3,4,5,6,7
rov trace:,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2
ref trace:,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8
S 1 trace:,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II
S 2 trace:,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III
S 3 trace:,ECG aVR,ECG aVR,ECG aVR,ECG aVR,ECG aVR,ECG aVR,ECG aVR
end time:,1649147643.694616,1649147653.288128,1649147823.056621,1649147724.824623,1649147648.169917,1649148018.624083,1649147653.288128
end frame:,0,0,0,0,0,0,0
ref LAT:,1649147643.194616,1649147652.788128,1649147822.556621,1649147724.324623,1649147647.669917,1649148018.124083,1649147652.788128
rov LAT:,1649147643.201071,1649147652.796549,1649147822.570940,1649147724.324688,1649147647.678338,1649148018.103511,1649147652.796549
peak2peak:,1.0640,3.8860,0.5800,0.6440,0.3680,0.4230,3.8860
peak neg:,-0.5130,-2.3630,-0.2830,-0.3400,-0.1670,-0.2650,-2.3630
CFE mean:,31.4574,500.123,500.123,500.123,30.4743,500.123,500.123
CFE stddev:,6.70568e-07,0,0,0,5.4248e-07,0,0
roving x:,-77.440,-82.580,-79.515,-88.060,-81.990,-89.355,-82.580
roving y:,-81.755,-89.380,-95.860,-87.435,-88.790,-86.600,-89.380
roving z:,176.840,167.565,169.840,164.375,174.525,185.005,167.565
surfPt x:,-76.692,-82.520,-77.558,-88.939,-76.881,-88.960,-82.520
surfPt y:,-81.784,-89.320,-94.613,-87.447,-89.365,-85.904,-89.320
surfPt z:,177.194,167.204,168.728,166.406,174.064,185.865,167.204
cycle len:,1059.23,1158.02,860.654,805.603,746.62,873.434,1158.02
displayed:,1,1,1,1,1,1,1
utilized:,1,0,1,1,1,1,1
rov detect:,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak
rov param:,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000
ref detect:,Max,Max,Max,Max,Max,Max,Max
ref param:,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000
Low V ID:,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
Seg data len:,1
Exported seconds:,1
Sample rate:,2034.50
CFE P-P sensitivity (mv),0.0400
CFE Width (ms),10
CFE Refractory (ms),30

rov trace:,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2
,0.0030,-0.0010,-0.0020,0.0000,-0.0010,0.0030,-0.0010
,0.0030,-0.0050,-0.0030,0.0020,0.0010,0.0040,-0.0050
,0.0020,-0.0080,-0.0050,0.0020,0.0020,0.0030,-0.0080
