St. Jude Medical. File Revision : 5.6.1
Export Data Element : DxL
Export from Study : study_dwsG703731_2022_07_22_09_33_16
Export from Segment : 2
Export User Comments : Add comments here
Export files Stored in Dir : /var/STJ/Clinical/systemStudy/study_dwsG703731_2022_07_22_09_33_16/export/2024_06_14_13_01_13/
Export Start Time (h:m:s.msec) : 09:37:13.157
Export Start Time (secs usecs) : 1658482633 157270
Export End Time (h:m:s.msec) : 09:33:22.371
Export End Time (secs usecs) : 1658482402 370836
Export Duration (h:m:s.msec) : 00:-3:-51.214

Total number of data points (columns):, 5
 This is file 1 of 1 for map,MAP_B
 Points sorted in order of acceptance (first to last)
 *******************************************************************************
*     The lines following "Begin data" contain (one column per data point)
* the point number (order of collection); the labels of the roving/reference/
* Signal 1/Signal 2/Signal 3 traces; the Local Activation Time (LAT) detected
* on the reference trace (measured in samples from the beginning of the data
* interval); the end time of the traces (in sec); the end frame index (not used, always 0);
* the LAT detected on the reference trace (in sec);
* the LAT detected on the roving trace (in sec);
* the peak-to-peak and peak negative voltages of the roving trace (in mV);
* CFE mean and CFE standard deviation measures (in msec);
* the x/y/z coordinates of the roving electrode;
* the x/y/z coordinates of the roving electrode projected onto the map surface;
* the cycle length of the roving trace (in msec);
* a flag for whether it was displayed on the map;
* a flag for whether it was used to compute the map;
* the detection algorithm code and parameter for the roving trace;
* the detection algorithm code and parameter for the reference trace; and
* the low voltage ID (in mV).
* Following these lines are 6 lines of single entry field for wave data:
* the segment data length (in msec); the exported data length (in msec);
* the data sample rate (in Hz); and 3 CFE algorithm parameters of peak-to-peak
* sensitivity (in mV), CFE width (in msec) and CFE refractory(in msec).
* Following these lines are 5 blocks of wave data.
* The blocks each contain a blank line; trace labels for each data point;
* and the all points for the roving trace and points for
* the reference/Signal 1/Signal 2/Signal 3 traces (if present) respectively.
* Following these lines is a section labeled "FFT spectrum is available for FFT maps only"
* which contains (one column per data point) the labels of the CFE detection roving trace;
* the CFE detection count; and the CFE detection sample index;
*******************************************************************************
Begin data
pt number:,1,2,3,4,5
rov trace:,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2
ref trace:,cs  3-4,cs  3-4,cs  3-4,cs  3-4,cs  3-4
S 1 trace:,ECG II,ECG II,ECG II,ECG II,ECG II
S 2 trace:,ECG aVF,ECG aVF,ECG aVF,ECG aVF,ECG aVF
S 3 trace:,ECG V1,ECG V1,ECG V1,ECG V1,ECG V1
end time:,1658487286.914581,1658487283.211952,1658487292.634415,1658487286.914581,1658487290.524314
end frame:,0,0,0,0,0
ref LAT:,1658487286.414581,1658487282.711952,1658487292.134415,1658487286.414581,1658487290.024314
rov LAT:,1658487286.419489,1658487282.721284,1658487292.136373,1658487286.419489,1658487290.027747
peak2peak:,0.2300,0.0810,0.2470,0.2300,0.2730
peak neg:,-0.1510,-0.0490,-0.1510,-0.1510,-0.1690
CFE mean:,500.123,500.123,108.626,500.123,500.123
CFE stddev:,0,0,1.37993e-06,0,0
roving x:,32.025,30.480,33.485,32.025,33.245
roving y:,-42.215,-42.015,-48.170,-42.215,-37.525
roving z:,329.665,328.725,327.330,329.665,331.100
surfPt x:,34.654,32.454,35.874,34.654,35.235
surfPt y:,-41.218,-40.952,-47.582,-41.218,-37.456
surfPt z:,327.591,325.713,325.715,327.591,330.627
cycle len:,759.892,769.231,705.334,759.892,716.147
displayed:,1,1,1,1,1
utilized:,0,1,1,1,1
rov detect:,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak
rov param:,0.3000,0.3000,0.3000,0.3000,0.3000
ref detect:,Max,Max,Max,Max,Max
ref param:,0.3000,0.3000,0.3000,0.3000,0.3000
Low V ID:,0.1000,0.1000,0.1000,0.1000,0.1000
Seg data len:,1
Exported seconds:,1
Sample rate:,2034.50
CFE P-P sensitivity (mv),0.0400
CFE Width (ms),10
CFE Refractory (ms),30

rov trace:,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2
,-0.0040,-0.0020,0.0110,-0.0040,0.0110
,-0.0040,-0.0020,0.0120,-0.0040,0.0120
,-0.0050,-0.0010,0.0120,-0.0050,0.0140
,-0.0040,-0.0010,0.0110,-0.0040,0.0150
,-0.0040,0.0000,0.0090,-0.0040,0.0130
,-0.0030,0.0010,0.0060,-0.0030,0.0090
,-0.0030,0.0040,0.0040,-0.0030,0.0050
,-0.0050,0.0060,0.0010,-0.0050,0.0010
,-0.0080,0.0070,-0.0010,-0.0080,-0.0010
,-0.0110,0.0060,-0.0040,-0.0110,-0.0010
,-0.0130,0.0030,-0.0070,-0.0130,0.0000
,-0.0140,0.0000,-0.0110,-0.0140,0.0000
,-0.0130,-0.0040,-0.0130,-0.0130,0.0000
,-0.0110,-0.0060,-0.0140,-0.0110,0.0000
,-0.0090,-0.0060,-0.0130,-0.0090,-0.0010
,-0.0070,-0.0050,-0.0100,-0.0070,-0.0020
,-0.0050,-0.0040,-0.0060,-0.0050,-0.0030
,-0.0030,-0.0010,-0.0020,-0.0030,-0.0040
,0.0000,0.0010,0.0000,0.0000,-0.0060
,0.0030,0.0020,0.0010,0.0030,-0.0070
,0.0050,0.0020,0.0010,0.0050,-0.0090
,0.0050,0.0000,-0.0010,0.0050,-0.0100
,0.0030,-0.0020,-0.0040,0.0030,-0.0120
,0.0010,-0.0020,-0.0070,0.0010,-0.0120
,0.0000,-0.0010,-0.0100,0.0000,-0.0100
,0.0010,0.0000,-0.0120,0.0010,-0.0070
,0.0030,-0.0020,-0.0110,0.0030,-0.0040
,0.0060,-0.0060,-0.0100,0.0060,-0.0020
,0.0080,-0.0090,-0.0070,0.0080,0.0000
,0.0100,-0.0100,-0.0030,0.0100,0.0000
,0.0090,-0.0080,-0.0010,0.0090,0.0010
,0.0080,-0.0040,0.0020,0.0080,0.0030
,0.0060,-0.0020,0.0040,0.0060,0.0050
,0.0050,-0.0020,0.0060,0.0050,0.0070
,0.0050,-0.0040,0.0070,0.0050,0.0080
,0.0050,-0.0050,0.0070,0.0050,0.0070
,0.0050,-0.0040,0.0060,0.0050,0.0070
,0.0040,-0.0010,0.0060,0.0040,0.0080
,0.0010,0.0030,0.0060,0.0010,0.0100
,-0.0020,0.0060,0.0070,-0.0020,0.0120
,-0.0040,0.0070,0.0080,-0.0040,0.0120
,-0.0050,0.0050,0.0090,-0.0050,0.0100
,-0.0040,0.0040,0.0090,-0.0040,0.0060
,-0.0020,0.0020,0.0080,-0.0020,0.0010
,-0.0010,0.0010,0.0070,-0.0010,-0.0020
,-0.0010,0.0010,0.0050,-0.0010,-0.0020
