St. Jude Medical. File Revision : 5.6.1
Export Data Element : DxL
Export from Study : study_dwsG703310_2023_10_30_15_52_17
Export from Segment : End of Study
Export User Comments : Add comments here
Export files Stored in Dir : /var/STJ/Clinical/systemStudy/study_dwsG703310_2023_10_30_15_52_17/export/2023_10_31_16_14_30/
Export Start Time (h:m:s.msec) : 18:34:43.491
Export Start Time (secs usecs) : 1698690883 490747
Export End Time (h:m:s.msec) : 15:52:23.124
Export End Time (secs usecs) : 1698681143 124417
Export Duration (h:m:s.msec) : -2:-42:-21.634

Total number of data points (columns):, 20
 This is file 1 of 1 for map,MAP B
 Points sorted in order of acceptance (first to last)
 *******************************************************************************
*     The lines following "Begin data" contain (one column per data point)
* the point number (order of collection); the labels of the roving/reference/
* Signal 1/Signal 2/Signal 3 traces; the Local Activation Time (LAT) detected
* on the reference trace (measured in samples from the beginning of the data
* interval); the end time of the traces (in sec); the end frame index (not used, always 0);
* the LAT detected on the reference trace (in sec);
* the LAT detected on the roving trace (in sec);
* the peak-to-peak and peak negative voltages of the roving trace (in mV);
* CFE mean and CFE standard deviation measures (in msec);
* the x/y/z coordinates of the roving electrode;
* the x/y/z coordinates of the roving electrode projected onto the map surface;
* the cycle length of the roving trace (in msec);
* a flag for whether it was displayed on the map;
* a flag for whether it was used to compute the map;
* the detection algorithm code and parameter for the roving trace;
* the detection algorithm code and parameter for the reference trace; and
* the low voltage ID (in mV).
* Following these lines are 6 lines of single entry field for wave data:
* the segment data length (in msec); the exported data length (in msec);
* the data sample rate (in Hz); and 3 CFE algorithm parameters of peak-to-peak
* sensitivity (in mV), CFE width (in msec) and CFE refractory(in msec).
* Following these lines are 5 blocks of wave data.
* The blocks each contain a blank line; trace labels for each data point;
* and the all points for the roving trace and points for
* the reference/Signal 1/Signal 2/Signal 3 traces (if present) respectively.
* Following these lines is a section labeled "FFT spectrum is available for FFT maps only"
* which contains (one column per data point) the labels of the CFE detection roving trace;
* the CFE detection count; and the CFE detection sample index;
*******************************************************************************
Begin data
pt number:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
rov trace:,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2
ref trace:,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I
S 1 trace:,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I,ECG I
S 2 trace:,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II,ECG II
S 3 trace:,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III,ECG III
end time:,1698686306.834542,1698685777.135845,1698686324.553393,1698686322.862067,1698686306.834542,1698686632.098244,1698685777.135845,1698686329.445011,1698686323.943414,1698686305.208590,1698687064.017142,1698686314.229971,1698687055.595909,1698685774.314021,1698685775.904584,1698686320.349411,1698687057.245946,1698687060.585341,1698686316.814881,1698686315.946855
end frame:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref LAT:,1698686306.120232,1698685776.421535,1698686323.839083,1698686322.147757,1698686306.120232,1698686631.383934,1698685776.421535,1698686328.730701,1698686323.229104,1698686304.494280,1698687063.302832,1698686313.515661,1698687054.881599,1698685773.599711,1698685775.190274,1698686319.635101,1698687056.531636,1698687059.871031,1698686316.100571,1698686315.232545
rov LAT:,1698686306.154405,1698685776.488148,1698686323.842289,1698686322.209455,1698686306.154405,1698686631.425479,1698685776.488148,1698686328.714739,1698686323.291785,1698686304.549096,1698687063.371903,1698686313.559664,1698687054.926093,1698685773.677629,1698685775.243616,1698686319.676646,1698687056.584978,1698687059.945509,1698686316.140150,1698686315.271632
peak2peak:,0.0660,0.2610,0.0900,0.0730,0.0660,0.1490,0.2610,0.0860,0.0540,0.0540,0.1050,0.0970,0.0780,0.0870,0.0940,0.0780,0.0640,0.0840,0.1240,0.0830
peak neg:,-0.0290,-0.1710,-0.0370,-0.0390,-0.0290,-0.0670,-0.1710,-0.0380,-0.0300,-0.0280,-0.0590,-0.0450,-0.0320,-0.0480,-0.0540,-0.0370,-0.0310,-0.0530,-0.0610,-0.0360
CFE mean:,500.123,500.123,500.123,500.123,500.123,500.123,500.123,500.123,500.123,500.123,500.123,500.123,500.123,500.123,500.123,500.123,500.123,500.123,500.123,500.123
CFE stddev:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roving x:,41.485,41.395,42.395,41.555,41.485,39.825,41.395,42.520,41.870,41.895,39.505,40.105,41.120,40.570,40.165,41.085,40.010,39.810,41.635,41.520
roving y:,-54.715,-51.695,-53.440,-54.150,-54.715,-53.815,-51.695,-53.110,-54.105,-55.060,-53.310,-52.665,-53.375,-52.610,-52.710,-53.170,-52.360,-53.405,-52.410,-52.845
roving z:,68.535,68.495,68.030,68.945,68.535,67.895,68.495,69.140,69.175,70.205,68.535,68.840,68.305,68.225,67.665,68.755,67.745,70.105,70.275,69.555
surfPt x:,43.592,42.473,43.512,43.558,43.592,42.245,42.473,43.812,43.755,44.383,42.219,42.262,42.865,42.395,42.036,42.951,41.874,42.745,43.360,43.231
surfPt y:,-52.740,-50.719,-52.393,-52.273,-52.740,-52.054,-50.719,-51.845,-52.108,-52.299,-51.238,-50.728,-51.861,-51.213,-51.265,-51.429,-50.968,-50.598,-50.721,-51.170
surfPt z:,66.820,67.791,67.121,67.315,66.820,65.886,67.791,68.203,67.770,68.319,66.706,67.456,66.904,66.995,66.403,67.525,66.492,68.396,69.213,68.314
cycle len:,811.501,698.944,609.979,1059.23,811.501,872.942,698.944,558.368,1081.35,821.332,833.62,1397.4,863.603,978.619,1010.57,989.924,1208.16,297.862,868.026,840.501
displayed:,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
utilized:,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
rov detect:,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak
rov param:,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000
ref detect:,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max
ref param:,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000
Low V ID:,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
Seg data len:,1
Exported seconds:,1
Sample rate:,2034.50
CFE P-P sensitivity (mv),0.0400
CFE Width (ms),10
CFE Refractory (ms),30

rov trace:,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2
,-0.0020,0.0050,0.0040,0.0010,-0.0020,-0.0020,0.0050,-0.0300,-0.0030,-0.0020,0.0030,0.0010,0.0030,-0.0070,0.0020,0.0040,-0.0060,-0.0080,0.0040,-0.0060
