St. Jude Medical. File Revision : 5.6.1
Export Data Element : DxL
Export from Study : study_dwsG703731_2022_04_05_07_31_52
Export from Segment : End of Study
Export User Comments : Add comments here
Export files Stored in Dir : /var/STJ/Clinical/systemStudy/study_dwsG703731_2022_04_05_07_31_52/export/2024_06_14_12_50_57/
Export Start Time (h:m:s.msec) : 09:32:01.906
Export Start Time (secs usecs) : 1649151121 906339
Export End Time (h:m:s.msec) : 07:31:58.285
Export End Time (secs usecs) : 1649143918 284810
Export Duration (h:m:s.msec) : -2:00:-4.378

Total number of data points (columns):, 5
 This is file 1 of 1 for map,MAP_C
 Points sorted in order of acceptance (first to last)
 *******************************************************************************
*     The lines following "Begin data" contain (one column per data point)
* the point number (order of collection); the labels of the roving/reference/
* Signal 1/Signal 2/Signal 3 traces; the Local Activation Time (LAT) detected
* on the reference trace (measured in samples from the beginning of the data
* interval); the end time of the traces (in sec); the end frame index (not used, always 0);
* the LAT detected on the reference trace (in sec);
* the LAT detected on the roving trace (in sec);
* the peak-to-peak and peak negative voltages of the roving trace (in mV);
* CFE mean and CFE standard deviation measures (in msec);
* the x/y/z coordinates of the roving electrode;
* the x/y/z coordinates of the roving electrode projected onto the map surface;
* the cycle length of the roving trace (in msec);
* a flag for whether it was displayed on the map;
* a flag for whether it was used to compute the map;
* the detection algorithm code and parameter for the roving trace;
* the detection algorithm code and parameter for the reference trace; and
* the low voltage ID (in mV).
* Following these lines are 6 lines of single entry field for wave data:
* the segment data length (in msec); the exported data length (in msec);
* the data sample rate (in Hz); and 3 CFE algorithm parameters of peak-to-peak
* sensitivity (in mV), CFE width (in msec) and CFE refractory(in msec).
* Following these lines are 5 blocks of wave data.
* The blocks each contain a blank line; trace labels for each data point;
* and the all points for the roving trace and points for
* the reference/Signal 1/Signal 2/Signal 3 traces (if present) respectively.
* Following these lines is a section labeled "FFT spectrum is available for FFT maps only"
* which contains (one column per data point) the labels of the CFE detection roving trace;
* the CFE detection count; and the CFE detection sample index;
*******************************************************************************
Begin data
pt number:,1,2,3,4,5
rov trace:,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2
ref trace:,CS  7-8,CS  7-8,CS  7-8,CS  7-8,CS  7-8
S 1 trace:,ECG II,ECG II,ECG II,ECG II,ECG II
S 2 trace:,ECG III,ECG III,ECG III,ECG III,ECG III
S 3 trace:,ECG aVR,ECG aVR,ECG aVR,ECG aVR,ECG aVR
end time:,1649147886.742539,1649147856.719930,1649147705.914817,1649147912.020495,1649147912.020495
end frame:,0,0,0,0,0
ref LAT:,1649147886.242539,1649147856.219930,1649147705.414817,1649147911.520495,1649147911.520495
rov LAT:,1649147886.295204,1649147856.273578,1649147705.367855,1649147911.502381,1649147911.502381
peak2peak:,0.0990,0.0700,0.5245,0.1050,0.1050
peak neg:,-0.0640,-0.0450,-0.5090,-0.0660,-0.0660
CFE mean:,500.123,500.123,500.123,56.0334,56.0334
CFE stddev:,0,0,0,4.79194e-07,4.79194e-07
roving x:,-80.310,-81.250,-80.750,-86.635,-86.635
roving y:,-89.540,-91.125,-98.195,-92.890,-92.890
roving z:,181.790,179.215,185.440,184.485,184.485
surfPt x:,-77.902,-77.187,-78.985,-85.555,-85.555
surfPt y:,-89.852,-91.361,-98.102,-92.458,-92.458
surfPt z:,182.844,180.523,185.624,188.519,188.519
cycle len:,766.773,832.638,844.925,1172.77,1172.77
displayed:,1,1,1,1,1
utilized:,1,1,1,0,1
rov detect:,abs Peak,abs Peak,abs Peak,abs Peak,abs Peak
rov param:,0.3000,0.3000,0.3000,0.3000,0.3000
ref detect:,Max,Max,Max,Max,Max
ref param:,0.3000,0.3000,0.3000,0.3000,0.3000
Low V ID:,0.1000,0.1000,0.1000,0.1000,0.1000
Seg data len:,1
Exported seconds:,1
Sample rate:,2034.50
CFE P-P sensitivity (mv),0.0400
CFE Width (ms),10
CFE Refractory (ms),30

rov trace:,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2,ABL   D-2
,0.0080,-0.0050,-0.0040,-0.0010,-0.0010
,0.0070,-0.0030,-0.0020,0.0000,0.0000
,0.0040,0.0010,0.0030,0.0020,0.0020
,0.0010,0.0050,0.0080,0.0040,0.0040
,-0.0010,0.0060,0.0110,0.0040,0.0040
,-0.0010,0.0040,0.0130,0.0030,0.0030
,-0.0010,0.0000,0.0120,0.0010,0.0010
,-0.0010,-0.0040,0.0100,-0.0010,-0.0010
,-0.0010,-0.0050,0.0090,-0.0020,-0.0020
,-0.0020,-0.0040,0.0080,-0.0010,-0.0010
,-0.0020,-0.0020,0.0060,0.0000,0.0000
,-0.0010,-0.0010,0.0050,0.0010,0.0010
,0.0010,-0.0010,0.0030,0.0000,0.0000
,0.0040,-0.0010,0.0010,-0.0010,-0.0010
,0.0060,-0.0020,-0.0010,-0.0030,-0.0030
,0.0070,-0.0020,-0.0030,-0.0050,-0.0050
,0.0080,0.0000,-0.0050,-0.0060,-0.0060
,0.0080,0.0010,-0.0050,-0.0060,-0.0060
,0.0080,0.0030,-0.0040,-0.0050,-0.0050
,0.0090,0.0030,-0.0020,-0.0030,-0.0030
,0.0100,0.0040,0.0000,-0.0020,-0.0020
,0.0100,0.0040,0.0010,0.0000,0.0000
,0.0080,0.0040,0.0000,0.0010,0.0010
,0.0040,0.0040,-0.0030,0.0020,0.0020
,0.0000,0.0030,-0.0050,0.0020,0.0020
,-0.0030,0.0010,-0.0060,0.0010,0.0010
,-0.0040,0.0000,-0.0050,0.0000,0.0000
,-0.0040,0.0010,-0.0030,0.0000,0.0000
,-0.0040,0.0040,-0.0040,0.0010,0.0010
,-0.0040,0.0070,-0.0060,0.0020,0.0020
,-0.0050,0.0090,-0.0100,0.0020,0.0020
,-0.0060,0.0100,-0.0140,0.0010,0.0010
,-0.0070,0.0080,-0.0160,-0.0020,-0.0020
,-0.0070,0.0050,-0.0140,-0.0050,-0.0050
,-0.0060,0.0010,-0.0110,-0.0060,-0.0060
,-0.0050,-0.0020,-0.0070,-0.0050,-0.0050
,-0.0040,-0.0040,-0.0040,-0.0030,-0.0030
,-0.0040,-0.0040,-0.0020,-0.0010,-0.0010
,-0.0040,-0.0040,0.0000,0.0010,0.0010
,-0.0050,-0.0030,0.0020,0.0020,0.0020
,-0.0060,-0.0030,0.0040,0.0030,0.0030
,-0.0070,-0.0040,0.0050,0.0030,0.0030
,-0.0070,-0.0050,0.0050,0.0030,0.0030
,-0.0060,-0.0060,0.0030,0.0020,0.0020
,-0.0050,-0.0070,0.0000,0.0010,0.0010
,-0.0040,-0.0080,-0.0030,-0.0010,-0.0010
,-0.0040,-0.0090,-0.0050,-0.0020,-0.0020
,-0.0040,-0.0090,-0.0050,-0.0040,-0.0040
,-0.0040,-0.0090,-0.0020,-0.0050,-0.0050
,-0.0030,-0.0080,0.0010,-0.0040,-0.0040
,-0.0020,-0.0060,0.0060,-0.0020,-0.0020
,-0.0010,-0.0050,0.0090,0.0000,0.0000
,0.0000,-0.0040,0.0110,0.0010,0.0010
,0.0010,-0.0040,0.0120,0.0010,0.0010
,0.0020,-0.0040,0.0130,0.0000,0.0000
,0.0040,-0.0030,0.0120,-0.0020,-0.0020
,0.0050,-0.0010,0.0120,-0.0030,-0.0030
,0.0060,0.0020,0.0100,-0.0030,-0.0030
,0.0070,0.0040,0.0080,-0.0020,-0.0020
,0.0070,0.0040,0.0060,0.0000,0.0000
,0.0060,0.0020,0.0030,0.0020,0.0020
,0.0050,-0.0010,0.0020,0.0020,0.0020
,0.0040,-0.0030,0.0020,0.0010,0.0010
,0.0030,-0.0030,0.0020,0.0000,0.0000
,0.0020,0.0000,0.0030,-0.0010,-0.0010
,0.0010,0.0030,0.0020,-0.0010,-0.0010
,0.0000,0.0060,0.0010,-0.0010,-0.0010
,-0.0010,0.0070,0.0010,0.0010,0.0010
,-0.0030,0.0050,0.0010,0.0020,0.0020
,-0.0050,0.0020,0.0010,0.0030,0.0030
,-0.0060,0.0000,0.0020,0.0030,0.0030
,-0.0060,0.0000,0.0010,0.0030,0.0030
,-0.0040,0.0020,-0.0010,0.0020,0.0020
,-0.0020,0.0040,-0.0030,0.0020,0.0020
,0.0010,0.0060,-0.0030,0.0040,0.0040
,0.0040,0.0070,-0.0010,0.0050,0.0050
,0.0050,0.0050,0.0010,0.0060,0.0060
,0.0040,0.0030,0.0010,0.0050,0.0050
,0.0000,0.0010,0.0010,0.0050,0.0050
,-0.0050,0.0000,-0.0010,0.0030,0.0030
,-0.0080,0.0000,-0.0020,0.0020,0.0020
,-0.0090,0.0010,-0.0010,0.0010,0.0010
,-0.0060,0.0030,0.0020,0.0000,0.0000
,-0.0020,0.0030,0.0050,-0.0020,-0.0020
,0.0000,0.0010,0.0060,-0.0030,-0.0030
,0.0000,-0.0020,0.0060,-0.0030,-0.0030
,-0.0010,-0.0050,0.0040,-0.0020,-0.0020
,-0.0020,-0.0060,0.0040,-0.0010,-0.0010
,-0.0020,-0.0050,0.0050,0.0020,0.0020
,0.0000,-0.0030,0.0060,0.0040,0.0040
,0.0000,-0.0010,0.0070,0.0050,0.0050
,0.0000,-0.0020,0.0070,0.0050,0.0050
,-0.0010,-0.0030,0.0050,0.0040,0.0040
,-0.0020,-0.0040,0.0040,0.0020,0.0020
,-0.0030,-0.0050,0.0030,0.0000,0.0000
,-0.0010,-0.0050,0.0040,-0.0010,-0.0010
,0.0010,-0.0040,0.0040,-0.0020,-0.0020
,0.0040,-0.0030,0.0040,-0.0030,-0.0030
,0.0060,-0.0030,0.0020,-0.0030,-0.0030
,0.0080,-0.0020,-0.0010,-0.0030,-0.0030
,0.0090,-0.0010,-0.0040,-0.0040,-0.0040
,0.0090,-0.0010,-0.0050,-0.0040,-0.0040
,0.0090,-0.0010,-0.0060,-0.0030,-0.0030
,0.0080,-0.0010,-0.0060,-0.0030,-0.0030
,0.0070,-0.0030,-0.0060,-0.0020,-0.0020
,0.0050,-0.0040,-0.0050,-0.0020,-0.0020
,0.0040,-0.0040,-0.0050,-0.0010,-0.0010
,0.0020,-0.0030,-0.0040,-0.0010,-0.0010
,0.0000,-0.0010,-0.0030,-0.0010,-0.0010
,-0.0020,0.0020,-0.0030,-0.0010,-0.0010
,-0.0030,0.0050,-0.0040,-0.0020,-0.0020
,-0.0040,0.0050,-0.0060,-0.0020,-0.0020
,-0.0040,0.0050,-0.0080,-0.0010,-0.0010
,-0.0040,0.0020,-0.0090,0.0000,0.0000
,-0.0040,0.0000,-0.0100,0.0010,0.0010
,-0.0060,0.0000,-0.0120,0.0020,0.0020
,-0.0070,0.0010,-0.0130,0.0020,0.0020
