id,active_areas_number,Dominant_peak,Dominant_peak_time,Subdominant_peak,Subdominant_peak_time,Minor_peak,Minor_peak_time,Dominant_peak_env,Dominant_peak_env_time,Subdominant_peak_env,Subdominant_peak_env_time,Minor_peak_env,Minor_peak_env_time,First_peak,First_peak_time,Second_peak,Second_peak_time,Third_peak,Third_peak_time,First_peak_env,First_peak_env_time,Second_peak_env,Second__peak_env_time,Third_peak_env,Third_peak_env_time,duration,silent_phase,silent_rateo,atrial_ventricular_ratio,atrial_ventricular_time_ratio,minor_to_dominant_ratio,minor_to_subdominant_ratio,n_active_areas_on_duration_ratio,cross_peak_TM1,cross_peak_time_TM1,cross_energy_TM1,cross_peak_TM2,cross_peak_time_TM2,cross_energy_TM2,Dominant_AvgPowLF,Dominant_AvgPowMF,Dominant_AvgPowHF,Subdominant_AvgPowLF,Subdominant_AvgPowMF,Subdominant_AvgPowHF,Minor_AvgPowLF,Minor_AvgPowMF,Minor_AvgPowHF,First_AvgPowLF,First_AvgPowMF,First_AvgPowHF,Second_AvgPowLF,Second_AvgPowMF,Second_AvgPowHF,Third_AvgPowLF,Third_AvgPowMF,Third_AvgPowHF,Fragmentation,App,class
1,2,0.407,0.51106,0.043,0.31548,,,0.26693,0.50909,0.025233,0.31941,,,,,0.043,0.31548,0.407,0.51106,,,0.025233,0.31941,0.26693,0.50909,0.32138,0.05602,0.17431,0.095823,1.1779,1,9.4651,6.2232,0.15112,0.52826,0.00066095,0.081522,0.53808,0.00031063,8.1827e-05,1.9568e-06,,1.1843e-05,1.9312e-07,,6.106e-07,2.1819e-08,,8.1827e-05,1.9568e-06,,1.1843e-05,1.9312e-07,,6.106e-07,2.1819e-08,,14,0.095,Indifferent
1,2,0.739,0.50614,0.046,0.29386,,,0.55592,0.51057,0.033637,0.29828,,,,,0.046,0.29386,0.739,0.50614,,,0.033637,0.29828,0.55592,0.51057,0.32187,0.061425,0.19084,0.065714,0.53143,1,16.0652,6.2137,0.1427,0.52826,0.00054743,0.078939,0.53759,0.00026622,0.00026329,2.6796e-06,,6.1055e-05,3.3407e-07,,2.1109e-06,1.9678e-08,,0.00026329,2.6796e-06,,6.1055e-05,3.3407e-07,,2.1109e-06,1.9678e-08,,8,-0.039,Indifferent
1,2,0.561,0.51204,0.058,0.2973,,,0.43602,0.51057,0.039358,0.29877,,,,,0.058,0.2973,0.561,0.51204,,,0.039358,0.29877,0.43602,0.51057,0.32432,0.060442,0.18636,0.10339,0.62651,1,9.6724,6.1667,0.15903,0.52826,0.00066431,0.08658,0.53759,0.00030832,0.00017662,4.8067e-06,,4.2095e-05,3.3714e-07,,1.1031e-06,3.3989e-08,,0.00017662,4.8067e-06,,4.2095e-05,3.3714e-07,,1.1031e-06,3.3989e-08,,16,0.021,Indifferent
1,2,0.124,0.51155,0.072,0.34054,,,0.081366,0.51548,0.040892,0.33956,,,,,0.072,0.34054,0.124,0.51155,,,0.040892,0.33956,0.081366,0.51548,0.3715,0.019656,0.05291,0.30645,1.2727,1,1.7222,5.3836,0.27601,0.52629,0.0020667,0.1458,0.53661,0.00075486,6.4093e-06,1.6522e-06,,9.3383e-07,6.6851e-07,,4.7822e-08,3.7227e-08,,6.4093e-06,1.6522e-06,,9.3383e-07,6.6851e-07,,4.7822e-08,3.7227e-08,,58,0.052,Indifferent
1,2,0.157,0.51204,0.114,0.34005,,,0.092894,0.51155,0.0583,0.34447,,,,,0.114,0.34005,0.157,0.51204,,,0.0583,0.34447,0.092894,0.51155,0.32088,0.0093366,0.029096,0.28025,0.87111,1,1.3772,6.2328,0.25005,0.52727,0.0017799,0.12882,0.53759,0.00065664,6.8785e-06,3.9313e-06,,1.4368e-06,7.4353e-07,,3.7282e-08,4.3685e-08,,6.8785e-06,3.9313e-06,,1.4368e-06,7.4353e-07,,3.7282e-08,4.3685e-08,,47,0.043,Indifferent
1,2,0.595,0.51057,0.033,0.29681,,,0.42035,0.50909,0.020032,0.29631,,,,,0.033,0.29681,0.595,0.51057,,,0.020032,0.29631,0.42035,0.50909,0.36953,0.055528,0.15027,0.055462,1.0202,1,18.0303,5.4122,0.12918,0.52826,0.00046489,0.067803,0.53808,0.00021951,0.00015932,8.3703e-07,,3.5357e-05,1.6965e-07,,1.04e-06,3.0375e-08,,0.00015932,8.3703e-07,,3.5357e-05,1.6965e-07,,1.04e-06,3.0375e-08,,9,0.114,Indifferent
1,2,0.45,0.51253,0.06,0.29681,,,0.3521,0.51106,0.036921,0.29828,,,,,0.06,0.29681,0.45,0.51253,,,0.036921,0.29828,0.3521,0.51106,0.34152,0.052088,0.15252,0.13333,0.63594,1,7.5,5.8561,0.16429,0.52826,0.00071599,0.089102,0.53808,0.00032423,9.009e-05,3.6341e-06,,2.0861e-05,2.839e-07,,5.6492e-07,3.5971e-08,,9.009e-05,3.6341e-06,,2.0861e-05,2.839e-07,,5.6492e-07,3.5971e-08,,11,0.012,Indifferent
1,2,0.46,0.51253,0.03,0.29238,,,0.34755,0.51106,0.020771,0.29681,,,,,0.03,0.29238,0.46,0.51253,,,0.020771,0.29681,0.34755,0.51106,0.34496,0.084029,0.24359,0.065217,0.8323,1,15.3333,5.7977,0.16968,0.52826,0.00072269,0.09286,0.53759,0.00032631,0.00010156,1.2903e-06,,3.1686e-05,2.3166e-07,,6.5242e-07,2.728e-08,,0.00010156,1.2903e-06,,3.1686e-05,2.3166e-07,,6.5242e-07,2.728e-08,,11,0.017,Indifferent
1,3,0.366,0.51204,0.052,0.34054,0.022,0.23686,0.27262,0.51057,0.030265,0.33514,0.011961,0.2398,0.022,0.23686,0.052,0.34054,0.366,0.51204,0.011961,0.2398,0.030265,0.33514,0.27262,0.51057,0.37985,0.054054,0.1423,0.14208,1.0305,1,7.0385,7.8978,0.15478,0.52826,0.00060979,0.084044,0.53808,0.00027423,6.885e-05,2.1994e-06,2.9522e-07,1.6055e-05,3.752e-07,1.3618e-07,4.2507e-07,2.8882e-08,2.4887e-08,6.885e-05,2.1994e-06,2.9522e-07,1.6055e-05,3.752e-07,1.3618e-07,4.2507e-07,2.8882e-08,2.4887e-08,24,0.056,Indifferent
1,2,0.491,0.51253,0.039,0.29238,,,0.36432,0.51106,0.028413,0.29533,,,,,0.039,0.29238,0.491,0.51253,,,0.028413,0.29533,0.36432,0.51106,0.33907,0.058477,0.17246,0.07943,0.65946,1,12.5897,5.8986,0.15737,0.52826,0.00071023,0.085457,0.53808,0.00031863,9.6643e-05,2.5304e-06,,2.7176e-05,2.5368e-07,,6.9348e-07,2.7586e-08,,9.6643e-05,2.5304e-06,,2.7176e-05,2.5368e-07,,6.9348e-07,2.7586e-08,,15,0.028,Indifferent
